loop,time_s,sample,max_samples
0, 0.0027277000481262803, 0, 2001
1, 0.003553300048224628, 0, 2001
2, 0.015485499985516071, 3, 2001
3, 0.019507499993778765, 14, 2001
4, 0.019690099987201393, 19, 2001
5, 0.020035300054587424, 19, 2001
6, 0.020214400021359324, 20, 2001
7, 0.020390199963003397, 20, 2001
8, 0.02056330000050366, 20, 2001
9, 0.020739100058563054, 20, 2001
10, 0.021077200071886182, 20, 2001
11, 0.021258900058455765, 21, 2001
12, 0.02143139997497201, 21, 2001
13, 0.021604300010949373, 21, 2001
14, 0.021779400063678622, 21, 2001
15, 0.0221174000762403, 21, 2001
16, 0.022294600028544664, 22, 2001
17, 0.02247760002501309, 22, 2001
18, 0.02265250007621944, 22, 2001
19, 0.022989199962466955, 22, 2001
20, 0.02316920005250722, 23, 2001
21, 0.02334089996293187, 23, 2001
22, 0.023515600012615323, 23, 2001
23, 0.023687700042501092, 23, 2001
24, 0.02402430004440248, 23, 2001
25, 0.024205300025641918, 24, 2001
26, 0.024377300054766238, 24, 2001
27, 0.024551999988034368, 24, 2001
28, 0.024724200018681586, 24, 2001
29, 0.025061900028958917, 24, 2001
30, 0.025242600007914007, 25, 2001
31, 0.025418900069780648, 25, 2001
32, 0.025593800004571676, 25, 2001
33, 0.02576690004207194, 25, 2001
34, 0.026154999970458448, 25, 2001
35, 0.026362900040112436, 26, 2001
36, 0.026589600020088255, 26, 2001
37, 0.026775000034831464, 26, 2001
38, 0.027122600004076958, 26, 2001
39, 0.027309500030241907, 27, 2001
40, 0.027484099962748587, 27, 2001
41, 0.02767340000718832, 27, 2001
42, 0.028019399964250624, 27, 2001
43, 0.028196200029924512, 28, 2001
44, 0.02836710005067289, 28, 2001
45, 0.028538300073705614, 28, 2001
46, 0.02870899997651577, 28, 2001
47, 0.029183699982240796, 28, 2001
48, 0.02943950006738305, 29, 2001
49, 0.029637400060892105, 29, 2001
50, 0.030005900072865188, 29, 2001
51, 0.03022319998126477, 30, 2001
52, 0.030415300047025084, 30, 2001
53, 0.030640200013294816, 30, 2001
54, 0.03110620006918907, 30, 2001
55, 0.03134190000128001, 31, 2001
56, 0.031616799999028444, 31, 2001
57, 0.03212450002320111, 31, 2001
58, 0.032434900058433414, 32, 2001
59, 0.03277419996447861, 32, 2001
60, 0.033317600027658045, 32, 2001
61, 0.033765300060622394, 33, 2001
62, 0.034264200017787516, 33, 2001
63, 0.034477500012144446, 34, 2001
64, 0.03471000003628433, 34, 2001
65, 0.03520679997745901, 34, 2001
66, 0.03550210001412779, 35, 2001
67, 0.03577509999740869, 35, 2001
68, 0.0362013999838382, 35, 2001
69, 0.03638639999553561, 36, 2001
70, 0.03655970003455877, 36, 2001
71, 0.03673639998305589, 36, 2001
72, 0.03707520000170916, 36, 2001
73, 0.03725359996315092, 37, 2001
74, 0.037429100018925965, 37, 2001
75, 0.03760170005261898, 37, 2001
76, 0.03777379996608943, 37, 2001
77, 0.038114900002256036, 37, 2001
